Four of Wands,"""Someone is watching and evaluating your work""","""Someone is watching and evaluating your work""","""You may get a wedding invitation soon"""
Five of Wands,"""Prepare for a fight with your best friend""","""Remember: once you let words loose, you can't take them back""","""Remember: once you let words loose, you can't take them back"""
Six of Wands,"""Someone is planning a party for you, but not everyone feels so good about your recent success""","""Someone is planning a party for you, but not everyone feels so good about your recent success""","""Watch out for envious friends"""
Seven of Wands,"""Don't be surprised by a personal attack""","""Prepare to defend yourself or someone you love""","""Don't be surprised by a personal attack"""
Eight of Wands,"""Watch for a surprising letter in the mail""","""Your whole world is about to be turned on its ear""","""Your whole world is about to be turned on its ear"""
Nine of Wands,"One seated on her couch in lamentation, with the swords over her. She is as one who knows no sorrow which is like unto hers. It is a card of utter desolation.",,
Ten of Wands,Connect yourself with honour and good faith.,Is your fortune merely bad luck in disguise?,"""Hold those around you close"""
Page of Wands,"Sit in your thoughts, see what approaches",Think on you were and you've become.,Are you where you wish to be?
Knight of Wands,Head into conflict with grace.,"You're a dreamer, keep your head in the clouds.",Do you know where you head is at?
Queen of Wands,"A dark woman, countrywoman, friendly, chaste, loving, honourable. If the card beside her signifies a man, she is well disposed towards him; if a woman, she is interested in the Querent.",You will come into wealth.,"A dark woman, countrywoman, friendly, chaste, loving, honourable. If the card beside her signifies a man, she is well disposed towards him; if a woman, she is interested in the Querent."
King of Wands,Your physical and emotional nature is dark.,The darkness you keep inside will come to light.,You are hiding from the truth.
